Year,County,IncomeClass,Disclosure,ReturnCount,TotalIncome,TotalDeductions,TotalExemptions,TotalTaxableIncome,TotalTaxBeforeCredits,TotalTaxLiability,Place of Residence Sort Order,Income Class Sort Order
2012,Ulster,"10,000 - 19,999",,11629,171167,107094,3788,60286,2457,-1817,57,3
2000, Orleans ,"50,000 - 59,999",,1131,61895,14249,1301,46345,2357,2314,40,7
2012,Westchester,"5,000 - 9,999",,31892,238099,196084,452,41563,1663,-3723,61,2
2012,Greene,"40,000 - 49,999",,1524,68172,18129,894,49149,2510,2218,25,6
2002, Suffolk ,Total,,657029,37568954,8395381,409640,28763951,1754151,1681019,53,12
2009,Schuyler,"50,000 - 59,999",,489,26730,6631,404,19694,1032,904,50,7
2008, Genesee ,"200,000 - 249,999",,68,15140,1469,71,13600,932,864,24,11
2010,Delaware,Total,,18455,643622,182664,8348,465371,27110,21429,18,14
2004, Suffolk ,"5,000 - 9,999",,54417,402166,331197,567,70394,2817,-4227,53,2
2000, Westchester ,"50,000 - 59,999",,23794,1304382,313047,14843,976492,53708,51019,61,7
2006, Monroe ,"Under 5,000",,48807,101783,95263,2,6567,263,-4768,32,1
2010,Wayne,"Under 5,000",,6202,-4636,10536,0,679,27,-550,60,1
2000, Washington ,"50,000 - 59,999",,1622,88737,20702,1731,66304,3365,3148,59,7
2010,Dutchess,"40,000 - 49,999",,8737,391723,114657,5129,271936,14263,12421,19,6
2003, Yates ,"40,000 - 49,999",,776,34764,10118,907,23740,1154,1033,63,6
2004, Yates ,"75,000 - 99,999",,518,44386,8544,695,35147,2013,1851,63,9
2008, Niagara ,"40,000 - 49,999",,7019,314666,85102,4617,224947,11582,10325,35,6
2010,Allegany,"100,000 - 199,999",,838,105373,14393,1062,89917,5804,5320,8,10
2008, Schenectady ,"200,000 - 249,999",,434,95964,10529,494,84941,5818,5608,48,11
2008, St. Lawrence ,"60,000 - 74,999",,2995,200612,42228,2784,155601,8590,7807,46,8
2011,Seneca,"Under 5,000",,2617,-2565,4156,0,226,9,-224,51,1
2002, Rockland ,"200,000 and over",,4554,2017111,150449,6532,1860130,127419,107966,45,11
1999, Schenectady ,"200,000 and over",,884,395231,20683,936,373612,25592,25226,48,11
2012,Wyoming,"50,000 - 59,999",,1059,58000,13774,866,43360,2253,1950,62,7
2008, Schuyler ,Total,,8205,301663,82938,4049,216478,12160,9822,50,14
2009,Franklin,"60,000 - 74,999",,1272,85236,17881,1090,66265,3669,3363,22,8
2011,Monroe,"20,000 - 29,999",,43230,1071930,433850,24074,614005,27650,8887,32,4
2001, Niagara ,"5,000 - 9,999",,11055,81731,67766,83,13882,555,-882,35,2
2003, Jefferson ,"60,000 - 74,999",,2175,145777,31770,2388,111619,6021,5861,28,8
2011,Westchester,"30,000 - 39,999",,33858,1179258,415278,21756,742224,36752,25896,61,5
1999, Essex ,"40,000 - 49,999",,1327,59308,16009,1238,42061,2057,1971,21,6
2009,Niagara,"40,000 - 49,999",,6771,303036,82590,4370,216077,11109,9752,35,6
2006, Oswego ,"60,000 - 74,999",,3588,240998,52314,3711,184973,10101,9123,41,8
2005, Cayuga ,"60,000 - 74,999",,2415,161835,34978,2621,124236,6744,6491,11,8
2009,Orange,"500,000 and over",,517,580975,16445,722,563808,50349,40806,39,13
2003, Schoharie ,"Under 5,000",,2239,4478,4240,0,238,10,-129,49,1
2011,Fulton,"250,000 - 499,999",,61,21106,1567,56,19484,1439,1381,23,12
2004, Chautauqua ,"30,000 - 39,999",,5627,196005,65817,4260,125928,5978,5366,12,5
2007, Steuben ,"5,000 - 9,999",,4337,32078,27344,82,4646,186,-752,52,2
2002, Rensselaer ,"30,000 - 39,999",,7148,248802,75110,4015,169676,8384,7911,44,5
2004, New York City - Queens ,Total,,883712,32447957,9457558,484664,22505746,1313471,1133638,4,12
2010,Oswego,"50,000 - 59,999",,3011,165140,39889,2468,122782,6494,5866,41,7
2012,Madison,"75,000 - 99,999",,2278,197231,36526,2310,158394,8883,8099,31,9
2000, Orleans ,"40,000 - 49,999",,1562,70213,18707,1649,49857,2445,2385,40,6
2012,Oneida,"500,000 and over",,294,313215,7847,327,305041,23097,20409,36,13
2001, Steuben ,Total,,41528,1579800,400882,24179,1154738,66009,60767,52,12
2007, Warren ,"100,000 - 199,999",,2168,283297,44636,2502,236159,15397,14705,58,10
2009,Rensselaer,"60,000 - 74,999",,5207,349843,76242,3928,269673,15111,13590,44,8
2004, Fulton ,"40,000 - 49,999",,1838,82378,23285,1506,57586,2875,2773,23,6
1999, New York City - Queens ,"5,000 - 9,999",,103244,771350,702988,678,67675,2708,-12792,4,2
2006, Clinton ,"75,000 - 99,999",,2577,222858,40982,2940,178936,10296,9382,15,9
2011,Madison,"40,000 - 49,999",,2164,96992,26620,1398,68974,3552,3079,31,6
2011,Delaware,"5,000 - 9,999",,1845,13681,12196,35,1450,58,-315,18,2
2001, Onondaga ,"30,000 - 39,999",,19369,674246,201705,11860,460683,22599,22012,37,5
2009,Cayuga,"500,000 and over",,53,57753,1257,65,56430,5037,2927,11,13
2001, Ontario ,"Under 5,000",,6896,14665,13640,0,1025,41,-247,38,1
2011,Warren,"20,000 - 29,999",,4128,102445,43137,1998,57310,2577,1111,58,4
2012,Steuben,"100,000 - 199,999",,2920,380947,52674,3410,324863,20213,18888,52,10
1999, Tioga ,"30,000 - 39,999",,2230,77610,25057,1975,50578,2344,2098,55,5
2007, Lewis ,"100,000 - 199,999",,432,55107,7517,546,47044,3046,2651,29,10
2011,Oswego,"250,000 - 499,999",,161,52629,3414,173,49042,3591,3469,41,12
2004, Niagara ,"60,000 - 74,999",,6956,467040,100354,7600,359086,19579,19121,35,8
2001, New York City - Bronx ,"10,000 - 19,999",,105279,1528673,1030783,76945,420945,17015,-37456,1,3
2000, Wyoming ,"5,000 - 9,999",,1933,14281,11661,31,2590,104,-122,62,2
2007, Oneida ,"60,000 - 74,999",,6486,434919,94835,5928,334156,18375,16714,36,8
2009,Chenango,"50,000 - 59,999",,1283,70183,17413,1165,51605,2685,2344,14,7
2012,Rockland,"100,000 - 199,999",,20681,2880521,563860,26419,2290241,144642,125121,45,10
2010,Hamilton,"75,000 - 99,999",,139,11960,2338,107,9514,548,511,26,9
1999, Seneca ,"50,000 - 59,999",,877,47960,11131,1028,35801,1817,1746,51,7
2009,Niagara,"20,000 - 29,999",,12444,308449,126189,6578,175682,7900,2987,35,4
1999, Madison ,"5,000 - 9,999",,3085,22681,19236,50,3396,136,-199,31,2
2005, Suffolk ,Total,,672078,44809195,9685721,412499,34709923,2265829,2146829,53,12
2011,Wyoming,"40,000 - 49,999",,1457,65395,17612,1022,46761,2399,1991,62,6
2009,New York City - Kings,"30,000 - 39,999",,110877,3862970,1227228,89929,2545813,125213,81341,2,5
2003, Albany ,"200,000 and over",,2495,1236267,65507,3317,1167451,88832,81759,7,11
2001, Yates ,"60,000 - 74,999",,564,37504,7719,713,29072,1568,1489,63,8
2010,Montgomery,"200,000 - 249,999",,57,12409,1257,50,11102,760,739,33,11
2002, Genesee ,"20,000 - 29,999",,3508,86760,35797,2108,48856,2177,1597,24,4
2009,Cayuga,"200,000 - 249,999",,108,23898,2409,119,21370,1465,1348,11,11
2002, Steuben ,"50,000 - 59,999",,2380,130585,31807,2483,96294,4920,4740,52,7
2004, New York City - Queens ,"40,000 - 49,999",,76327,3409122,979707,56306,2373109,123422,116046,4,6
2004, Steuben ,"50,000 - 59,999",,2410,132071,32539,2426,97106,5014,4764,52,7
2007, Schuyler ,"75,000 - 99,999",,586,50348,9241,579,40527,2333,2125,50,9
2005, Albany ,"200,000 and over",,3028,1478204,86795,3860,1387543,104063,94760,7,11
2000, Wayne ,"40,000 - 49,999",,3545,158905,42034,3527,113344,5603,5439,60,6
2004, Tompkins ,"30,000 - 39,999",,3669,127698,40146,1891,85661,4217,3912,56,5
2006, Cortland ,"60,000 - 74,999",,1309,87650,19511,1326,66812,3627,3237,17,8
2010,Essex,"50,000 - 59,999",,935,51075,12757,604,37715,1993,1716,21,7
2009,Yates,"20,000 - 29,999",,1490,36613,16640,1118,18855,835,123,63,4
2008, Monroe ,"5,000 - 9,999",,32117,236915,194481,679,41755,1670,-4951,32,2
2009,New York City - Bronx,"40,000 - 49,999",,48536,2167772,562284,44060,1561428,82277,66211,1,6
2012,Hamilton,"50,000 - 59,999",,144,7923,2052,124,5747,294,257,26,7
2002, Seneca ,"200,000 and over",,45,15887,1582,39,14266,977,819,51,11
2009,Yates,"200,000 - 249,999",,25,5593,632,16,4945,339,333,63,11
2010,Cayuga,"5,000 - 9,999",,3227,24095,20345,42,3707,148,-516,11,2
2005, Cayuga ,"10,000 - 19,999",,5663,83590,52525,2028,29037,1182,-644,11,3
2003, Chautauqua ,"40,000 - 49,999",,4282,191715,55859,4153,131702,6420,5904,12,6
2006, Steuben ,"40,000 - 49,999",,3258,145835,41043,2613,102178,5141,4342,52,6
2011,Ontario,"500,000 and over",,264,327190,9172,298,317720,28396,25795,38,13
2006, Broome ,"5,000 - 9,999",,9720,71934,60794,92,11047,442,-1353,9,2
2004, Fulton ,"50,000 - 59,999",,1374,75337,18848,1311,55178,2850,2767,23,7
2006, Allegany ,"100,000 - 199,999",,598,75075,10562,704,63809,4114,3836,8,10
2002, Steuben ,"10,000 - 19,999",,7193,106286,70045,3035,33189,1348,-812,52,3
2001, Oneida ,"200,000 and over",,780,351639,18169,1019,332426,22771,21616,36,11
2007, Orange ,"250,000 - 499,999",,1786,591891,53291,2424,536180,36728,30632,39,12
2003, Washington ,"60,000 - 74,999",,1636,109408,23903,1788,83717,4506,4197,59,8
2004, Franklin ,"40,000 - 49,999",,1497,67166,18838,1370,46958,2349,2228,22,6
2010,New York City - Manhattan,"100,000 - 199,999",,92891,13002429,1590233,26602,11385594,762755,728393,3,10
2003, Nassau ,"100,000 - 199,999",,79148,10659829,1965681,101123,8593029,570553,558767,34,10
2001, Lewis ,"10,000 - 19,999",,1934,28414,18928,801,8685,353,-181,29,3
2012,Cortland,"10,000 - 19,999",,3222,48348,29267,1130,17951,732,-668,17,3
2002, New York City - Queens ,"40,000 - 49,999",,73843,3299373,908977,54385,2336012,121689,116576,4,6
2000, New York City - Bronx ,"60,000 - 74,999",,18023,1200498,236618,17343,946537,53923,52834,1,8
1999, Schoharie ,"60,000 - 74,999",,768,51150,10072,823,40255,2179,2140,49,8
2004, Schenectady ,"10,000 - 19,999",,10475,154568,97347,4072,53148,2166,-1240,48,3
2001, Essex ,"10,000 - 19,999",,3010,44786,28264,1042,15480,629,10,21,3
2004, Livingston ,"20,000 - 29,999",,3216,79994,33624,1807,44563,1990,1319,30,4
2005, Lewis ,"60,000 - 74,999",,738,49351,10931,787,37633,2026,1917,29,8
2012,Fulton,"50,000 - 59,999",,1361,74654,17834,953,55867,2931,2656,23,7
2009,Oneida,"60,000 - 74,999",,6393,429087,91517,5596,331974,18394,16924,36,8
2003, Westchester ,"5,000 - 9,999",,32501,240454,205735,212,34507,1381,-3773,61,2
2008, Oswego ,"75,000 - 99,999",,3850,332870,60020,4102,268749,15552,14401,41,9
2000, Montgomery ,"75,000 - 99,999",,964,82086,13411,1082,67593,3890,3828,33,9
2012,Putnam,"60,000 - 74,999",,3118,209619,53303,2166,154150,8454,7390,43,8
2003, Hamilton ,"20,000 - 29,999",,367,9074,4108,201,4764,211,159,26,4
2000, Sullivan ,"100,000 - 199,999",,1070,137312,19065,1112,117135,7611,7443,54,10
2007, Tioga ,"100,000 - 199,999",,1637,211479,29051,1998,180430,11731,10944,55,10
2003, St. Lawrence ,"30,000 - 39,999",,3843,134195,45425,3196,85574,4043,3771,46,5
2012,Seneca,"250,000 - 499,999",,76,24921,1568,64,23289,1575,1463,51,12
2006, Westchester ,"40,000 - 49,999",,29418,1319126,399884,16196,903046,47960,41010,61,6
2007, Herkimer ,Total,,27597,976049,278053,14605,683384,37891,29743,27,14
2001, Seneca ,"200,000 and over",,64,21264,1728,52,19485,1335,1270,51,11
2005, New York City - Queens ,"100,000 - 199,999",,45440,5922007,919620,46507,4955875,326593,317353,4,10
2008, Schuyler ,"30,000 - 39,999",,836,29125,9515,510,19100,925,726,50,5
2005, Ontario ,"Under 5,000",,7174,13919,13025,0,877,35,-526,38,1
2009,Lewis,"100,000 - 199,999",,460,57509,7970,611,48928,3157,2954,29,10
2007, Saratoga ,"10,000 - 19,999",,12817,190406,116943,3147,70315,2875,-734,47,3
2012,New York City - Kings,Total,,1087718,49694070,11213130,610239,39053112,2419085,1945670,2,14
2007, Erie ,"50,000 - 59,999",,23757,1302960,309829,17849,975282,52334,47285,20,7
2008, Columbia ,"30,000 - 39,999",,2722,94548,31882,1493,61174,3000,2318,16,5
2001, Rensselaer ,"5,000 - 9,999",,6918,50970,42498,64,8409,336,-497,44,2
2008, Allegany ,"60,000 - 74,999",,1401,93863,20441,1477,71945,3921,3413,8,8
2006, Greene ,"200,000 and over",,261,119164,6624,212,112328,7694,7479,25,11
1999, Wayne ,"200,000 and over",,207,101581,4423,211,96947,6641,6344,60,11
2011,Schoharie,"40,000 - 49,999",,918,41091,11597,597,28897,1488,1268,49,6
2009,Otsego,Total,,25488,974978,255362,12021,722256,43274,36031,42,14
1999, St. Lawrence ,"Under 5,000",,6779,15092,14328,0,779,31,-251,46,1
2003, Niagara ,"200,000 and over",,493,223215,11496,592,211127,16050,14896,35,11
2002, Cayuga ,"75,000 - 99,999",,1911,163742,28631,2368,132743,7616,7446,11,9
2011,Sullivan,"40,000 - 49,999",,2351,105547,30907,1670,72970,3769,3185,54,6
2004, Nassau ,"5,000 - 9,999",,50778,374238,309595,530,64113,2565,-3552,34,2
2001, Clinton ,Total,,32063,1114954,302152,17632,795171,43770,39610,15,12
2010,Niagara,"40,000 - 49,999",,6942,310956,82745,4468,223742,11579,10228,35,6
2008, Jefferson ,"40,000 - 49,999",,3145,140975,39386,2403,99186,5021,4326,28,6
2011,Orange,"50,000 - 59,999",,8862,486258,127216,7062,351980,19165,16588,39,7
2004, New York City - Bronx ,"75,000 - 99,999",,15677,1337150,255013,15620,1066517,63097,61277,1,9
2000, Tompkins ,"200,000 and over",,683,335153,19552,645,314957,21574,21087,56,11
2007, Sullivan ,"250,000 - 499,999",,209,69315,6131,167,63017,4317,3888,54,12
2006, Chautauqua ,"75,000 - 99,999",,3235,277497,52001,3554,221942,12736,11298,12,9
2009,Steuben,"40,000 - 49,999",,3321,148488,40440,2426,105623,5412,4618,52,6
2009,St. Lawrence,"Under 5,000",,7134,-6630,11605,0,556,22,-932,46,1
2009,Chenango,"40,000 - 49,999",,1708,76409,20985,1245,54180,2757,2343,14,6
2012,Otsego,Total,,25503,1058226,252953,11546,808055,47282,40019,42,14
2003, Erie ,"50,000 - 59,999",,23474,1287375,307967,22070,957339,50266,48999,20,7
2003, Clinton ,"20,000 - 29,999",,4339,107458,44812,2589,60058,2672,1835,15,4
2007, Saratoga ,"250,000 - 499,999",,1225,405203,31965,1396,371842,25471,24290,47,12
2010,Livingston,"500,000 and over",,32,37636,692,27,36917,3304,2526,30,13
2011,Residence Unknown ++,"250,000 - 499,999",,486,168591,14426,278,153887,11527,9227,66,12
2010,Schenectady,"50,000 - 59,999",,4210,230818,54764,2643,173410,9469,8686,48,7
2001, Cortland ,"75,000 - 99,999",,967,82817,13935,1226,67656,3891,3821,17,9
2001, Westchester ,"60,000 - 74,999",,27107,1818175,417552,19672,1380951,78320,74781,61,8
2010,Tioga,"75,000 - 99,999",,1804,155607,28349,1946,125312,7229,6320,55,9
2003, Oneida ,"60,000 - 74,999",,5882,394738,84369,6324,304045,16527,16155,36,8
2003, Lewis ,"Under 5,000",,1921,3830,3583,0,243,10,-199,29,1
2009,Jefferson,"10,000 - 19,999",,7039,104742,66407,2819,35516,1445,-1836,28,3
2003, New York City - Queens ,"40,000 - 49,999",,74487,3326675,943287,55538,2327850,120977,114666,4,6
2001, Franklin ,"5,000 - 9,999",,2175,16075,13944,27,2104,84,-267,22,2
2008, Washington ,"250,000 - 499,999",,69,23221,1610,48,21563,1477,1373,59,12
2012,Livingston,"60,000 - 74,999",,1929,129697,27829,1590,100278,5402,4853,30,8
2009,Columbia,Total,,27560,1230008,309528,12939,984170,61868,51890,16,14
2003, Onondaga ,"Under 5,000",,32759,65261,61340,0,3921,157,-2875,37,1
2000, Rensselaer ,"50,000 - 59,999",,4164,228255,51359,3767,173129,9064,8778,44,7
2008, Oswego ,"5,000 - 9,999",,5129,37913,31793,106,6014,241,-829,41,2
2009,Seneca,"30,000 - 39,999",,1422,49439,16246,904,32289,1570,1160,51,5
2009,Ulster,"200,000 - 249,999",,589,130270,15982,596,113692,7794,7356,57,11
1999, Columbia ,"75,000 - 99,999",,1416,121334,20353,1474,99506,5763,5461,16,9
2003, Suffolk ,"30,000 - 39,999",,61264,2134028,763953,36548,1333526,65389,61137,53,5
2001, Montgomery ,"100,000 - 199,999",,517,63707,8455,613,54640,3511,3459,33,10
2007, Putnam ,Total,,46209,3920683,776333,28217,3116140,199620,178188,43,14
2004, Wyoming ,"200,000 and over",,68,28916,2399,66,26451,1993,1782,62,11
2010,Chemung,"Under 5,000",,6073,3395,10394,0,489,20,-445,13,1
2004, Schenectady ,"75,000 - 99,999",,5432,468142,85851,6006,376285,21737,21288,48,9
2012,New York City - Richmond,"100,000 - 199,999",,28557,3862347,675225,33659,3153462,198337,183181,5,10
1999, Allegany ,"40,000 - 49,999",,1512,67686,18637,1696,47353,2275,2184,8,6
2003, Rensselaer ,"40,000 - 49,999",,5407,241861,63345,3652,174864,9027,8605,44,6
2012,Saratoga,"40,000 - 49,999",,7288,326653,85495,3498,237660,12296,11060,47,6
2001, Greene ,"40,000 - 49,999",,1509,67684,17873,1253,48558,2441,2397,25,6
2008, Schenectady ,"Under 5,000",,10290,-7171,19669,0,1095,44,-605,48,1
2010,Schenectady,"30,000 - 39,999",,6824,237242,74682,4022,158539,7877,5969,48,5
2001, Erie ,"100,000 - 199,999",,20023,2581854,347524,25774,2208557,143582,141997,20,10
2008, Schoharie ,"Under 5,000",,2075,-3657,3445,0,184,7,-166,49,1
2005, Schoharie ,"Under 5,000",,2087,3942,3702,0,230,9,-138,49,1
2012,Suffolk,"75,000 - 99,999",,59463,5165076,1218440,52150,3894486,220611,208306,53,9
2005, NYS Unclassified + ,"20,000 - 29,999",,894,22190,8887,262,13041,601,493,65,4
2009,Franklin,"500,000 and over",,20,23881,417,30,23433,2095,1905,22,13
2005, Westchester ,Total,,421528,52094756,6977310,253450,44863397,3206207,2924210,61,12
2012,Dutchess,"Under 5,000",,19184,-87799,29363,1,1828,73,-1138,19,1
2007, Hamilton ,"20,000 - 29,999",,356,8845,4014,161,4669,209,107,26,4
2004, Schuyler ,"200,000 and over",,28,18963,567,21,18375,1393,1372,50,11
2000, Rockland ,"75,000 - 99,999",,11417,990800,209720,13473,767606,44502,40962,45,9
2012,Cortland,Total,,20100,818110,202312,10311,618988,35316,28107,17,14
1999, Essex ,"20,000 - 29,999",,2202,54524,22659,1347,30518,1344,1101,21,4
2009,Lewis,"10,000 - 19,999",,1592,23789,15372,525,7892,321,-455,29,3
2007, NYS Unclassified + ,"5,000 - 9,999",,106,779,601,1,177,7,-2,65,2
2002, Albany ,"30,000 - 39,999",,13801,479713,138670,6832,334211,16766,16174,7,5
2012,Erie,Total,,421917,21273127,4213430,203541,17006143,1042185,913444,20,14
2000, Cayuga ,"75,000 - 99,999",,1778,151668,24588,2179,124901,7192,7060,11,9
2007, Dutchess ,"40,000 - 49,999",,9110,408421,120544,5317,282560,14843,12989,19,6
2004, Suffolk ,"40,000 - 49,999",,50620,2269280,717722,32566,1518988,78954,75847,53,6
2006, Seneca ,"5,000 - 9,999",,1485,11006,9263,14,1729,69,-212,51,2
2010,Saratoga,"50,000 - 59,999",,6042,331242,80262,3672,247309,13447,12318,47,7
2001, NYS Unclassified + ,"200,000 and over",,112,73783,3546,118,70120,4803,4715,65,11
2002, Livingston ,"20,000 - 29,999",,3277,82068,33904,1930,46234,2062,1548,30,4
2004, Sullivan ,"200,000 and over",,340,264544,40349,249,223946,17007,15968,54,11
2007, Niagara ,"60,000 - 74,999",,6622,444863,97536,6365,340962,18683,16985,35,8
2008, Montgomery ,Total,,24201,879117,243180,12713,631785,35636,27839,33,14
2007, Ulster ,"5,000 - 9,999",,7952,58897,49130,63,9704,388,-963,57,2
2009,Saratoga,Total,,101390,5778802,1208855,55009,4585506,294518,269143,47,14
2005, Yates ,"30,000 - 39,999",,1085,37663,13081,908,23675,1116,962,63,5
2007, Schenectady ,"250,000 - 499,999",,599,201863,15341,642,185879,12733,12174,48,12
2012,Nassau,"60,000 - 74,999",,42187,2836190,751934,27182,2057074,113702,106436,34,8
2011,Nassau,"20,000 - 29,999",,59501,1472913,685786,29508,757619,34001,11943,34,4
2009,Schoharie,"250,000 - 499,999",,40,12448,930,43,11475,836,831,49,12
2011,Onondaga,"250,000 - 499,999",,2371,795453,63189,3026,729238,53789,48623,37,12
2001, Yates ,"10,000 - 19,999",,1914,28444,18132,805,9507,386,-82,63,3
2006, Erie ,Total,,405676,18578120,4171911,212822,14193589,844953,725295,20,12
2002, Chemung ,"200,000 and over",,348,136582,8787,412,127382,8726,8011,13,11
2008, Westchester ,Total,,437063,54932654,7564456,257794,47944443,3174297,2858326,61,14
2005, Wayne ,"200,000 and over",,264,104292,6036,234,98021,7283,6615,60,11
2007, Livingston ,"60,000 - 74,999",,2154,144676,32156,2110,110410,6034,5401,30,8
2008, Broome ,"200,000 - 249,999",,497,110657,10828,597,99232,6797,6575,9,11
2004, Jefferson ,"40,000 - 49,999",,3041,136260,39119,2798,94342,4660,4454,28,6
2009,Onondaga,"10,000 - 19,999",,29999,444891,274708,11779,158404,6454,-7064,37,3
2007, Rockland ,"Under 5,000",,17758,34602,32118,4,2555,104,-582,45,1
1999, Wyoming ,"30,000 - 39,999",,1941,67477,21590,1812,44075,2053,1896,62,5
2009,Genesee,"100,000 - 199,999",,1644,206589,29990,2011,174588,11267,10527,24,10
2010,Genesee,"75,000 - 99,999",,2109,182324,33568,2286,146470,8443,7762,24,9
2005, Chenango ,Total,,21216,712267,208593,12055,491595,27253,23072,14,12
2001, Wyoming ,"30,000 - 39,999",,1937,67607,21518,1565,44524,2105,1980,62,5
2011,Genesee,"10,000 - 19,999",,4262,63317,38361,1442,23515,960,-673,24,3
2001, Orleans ,Total,,17145,540645,160988,10614,369043,19588,17677,40,12
2000, Schenectady ,"5,000 - 9,999",,7558,55762,47229,74,8460,338,-553,48,2
2001, Jefferson ,"50,000 - 59,999",,2124,116118,27905,2297,85917,4366,4249,28,7
2012,Cortland,"100,000 - 199,999",,1378,178887,24946,1583,152359,9458,8823,17,10
2011,Montgomery,"500,000 and over",,29,26794,969,25,25800,2310,1955,33,13
2004, Delaware ,"200,000 and over",,155,79540,3806,132,75602,5714,5398,18,11
2004, Niagara ,"Under 5,000",,16575,31810,30150,0,1657,66,-768,35,1
2006, New York City - Kings ,"5,000 - 9,999",,112178,847461,782483,2057,62913,2517,-37780,2,2
2006, Oswego ,"5,000 - 9,999",,5327,39549,33554,98,5897,236,-927,41,2
2011,Albany,"60,000 - 74,999",,9477,636531,130454,6110,499966,28585,26915,7,8
2001, Columbia ,"75,000 - 99,999",,1635,140239,24239,1770,114229,6609,6253,16,9
2001, Hamilton ,"50,000 - 59,999",,145,7974,1841,127,6006,308,304,26,7
2008, Otsego ,"5,000 - 9,999",,2601,19191,16620,42,2529,101,-384,42,2
2005, Orange ,"10,000 - 19,999",,20371,299076,192790,8100,98037,4002,-4041,39,3
2004, Suffolk ,"60,000 - 74,999",,49818,3349554,910016,48015,2391539,131821,129562,53,8
2002, Suffolk ,"Under 5,000",,88723,172594,161824,4,10788,432,-1255,53,1
2008, Westchester ,"50,000 - 59,999",,24108,1321057,360659,13675,946723,52689,46381,61,7
2005, Dutchess ,"10,000 - 19,999",,15036,222887,137908,4207,80759,3300,-364,19,3
2005, Albany ,"Under 5,000",,20415,41219,38883,0,2285,91,-1071,7,1
2000, Oneida ,"30,000 - 39,999",,9910,343907,105820,6956,231131,11060,10778,36,5
1999, Essex ,"5,000 - 9,999",,1925,14295,12760,26,1509,60,-137,21,2
1999, Residence Unknown ++ ,Total,,13056,1235334,164632,4046,1066653,70276,63395,66,12
2004, Oswego ,"60,000 - 74,999",,3433,230681,49167,3727,177787,9679,9473,41,8
2011,Rockland,"40,000 - 49,999",,8133,364658,113584,5746,245328,12871,10304,45,6
2000, Orange ,"30,000 - 39,999",,13007,453440,140036,8796,304608,14896,14041,39,5
2009,Clinton,"250,000 - 499,999",,209,69873,4533,225,65114,4817,4417,15,12
2002, Westchester ,"20,000 - 29,999",,41757,1041587,457571,25009,559007,24910,17503,61,4
2001, Westchester ,"Under 5,000",,58483,110907,104079,5,6854,274,-3212,61,1
2005, Franklin ,"100,000 - 199,999",,534,66610,9908,621,56081,3625,3526,22,10
1999, Chemung ,"75,000 - 99,999",,1667,142390,23201,2048,117141,6746,6601,13,9
2007, Washington ,"Under 5,000",,4262,8125,7711,0,449,18,-404,59,1
2012,Wayne,"30,000 - 39,999",,4237,146993,45873,2604,98517,4772,3452,60,5
2012,Wayne,"500,000 and over",,43,58116,767,35,57314,4557,3819,60,13
2001, Steuben ,"20,000 - 29,999",,5759,142733,59384,4197,79152,3486,2694,52,4
2000, Essex ,"50,000 - 59,999",,992,54417,12803,996,40618,2071,1976,21,7
2011,Schenectady,"250,000 - 499,999",,574,191644,14878,694,176071,12973,12304,48,12
2002, Chemung ,"20,000 - 29,999",,4711,116516,48826,3034,64656,2867,2098,13,4
1999, NYS Unclassified + ,"10,000 - 19,999",,718,10546,6454,268,3824,156,45,65,3
2011,Chemung,"60,000 - 74,999",,2568,171743,34780,1999,134964,7537,6762,13,8
2000, Broome ,"10,000 - 19,999",,16688,247821,151718,5916,90187,3669,752,9,3
2001, Herkimer ,"Under 5,000",,4311,9338,8813,0,522,21,-247,27,1
2000, Oswego ,"40,000 - 49,999",,4080,183061,48245,4014,130802,6460,6366,41,6
2004, New York City - Kings ,"Under 5,000",,120876,239617,233498,0,6121,245,-7899,2,1
2001, New York City - Queens ,"50,000 - 59,999",,51132,2798192,650146,39109,2108937,115111,112232,4,7
2000, Schenectady ,"10,000 - 19,999",,11232,166326,101403,4031,60881,2479,497,48,3
2001, Chemung ,"75,000 - 99,999",,2028,172903,29151,2438,141314,8126,7942,13,9
2010,Otsego,Total,,25650,995472,257224,11892,741232,44340,37287,42,14
2005, Fulton ,"75,000 - 99,999",,1320,112735,20542,1424,90769,5217,5118,23,9
2007, Erie ,"10,000 - 19,999",,66180,975915,590825,21777,363313,14838,-9224,20,3
2006, Saratoga ,"Under 5,000",,13390,27345,25360,0,1997,80,-523,47,1
1999, New York City - Richmond ,"5,000 - 9,999",,16248,119833,101239,106,18487,740,-917,5,2
1999, Fulton ,"60,000 - 74,999",,1189,79441,15806,1295,62340,3381,3357,23,8
2001, Orange ,"5,000 - 9,999",,13446,100050,83283,197,16570,663,-1466,39,2
2008, Chenango ,"100,000 - 199,999",,951,119812,17354,1099,101359,6548,6228,14,10
1999, Schenectady ,Total,,66068,2652538,631854,33846,1986850,114638,110285,48,12
2003, Franklin ,"50,000 - 59,999",,1088,59535,14826,1077,43632,2250,2171,22,7
2008, Seneca ,"60,000 - 74,999",,1036,69564,15283,975,53306,2912,2579,51,8
1999, NYS Unclassified + ,"60,000 - 74,999",,133,8911,1999,104,6807,381,366,65,8
2008, Franklin ,"5,000 - 9,999",,1845,13710,11599,22,2090,84,-299,22,2
2002, Schoharie ,"10,000 - 19,999",,2176,32042,21087,848,10107,411,-207,49,3
2011,New York City - Manhattan,"200,000 - 249,999",,21114,4710237,433481,7955,4268802,293753,280006,3,11
